Time	[A]	[B]
0.815	-3.39248e-17	2505.07
0.82	-3.49336e-17	2492.58
0.825	-3.4577e-17	2480.15
0.83	-3.2552e-17	2467.78
0.835	-2.85282e-17	2455.47
0.84	-2.21463e-17	2443.22
0.845	-1.30171e-17	2431.04
0.85	-7.20576e-19	2418.91
0.855	1.3397e-17	2406.85
0.86	2.59632e-17	2394.85
0.865	3.95843e-17	2382.9
0.87	5.39629e-17	2371.02
0.875	6.87295e-17	2359.19
0.88	8.34381e-17	2347.42
0.885	9.75613e-17	2335.72
0.89	1.10485e-16	2324.07
0.895	1.21534e-16	2312.48
0.9	1.30032e-16	2300.94
0.905	1.35013e-16	2289.47
0.91	1.35494e-16	2278.05
0.915	1.30381e-16	2266.69
0.92	1.18469e-16	2255.38
0.925	9.84366e-17	2244.13
0.93	6.88411e-17	2232.94
0.935	2.91421e-17	2221.8
0.94	-6.72226e-18	2210.72
0.945	-4.8325e-17	2199.69
0.95	-9.54567e-17	2188.72
0.955	-1.47772e-16	2177.81
0.96	-2.04779e-16	2166.95
0.965	-2.65827e-16	2156.14
0.97	-3.30099e-16	2145.38
0.975	-3.96598e-16	2134.68
0.98	-4.5292e-16	2124.04
0.985	-5.02362e-16	2113.44
0.99	-5.42291e-16	2102.9
0.995	-5.6919e-16	2092.41
1	-5.79103e-16	2081.98
1.005	-5.67613e-16	2071.59
1.01	-5.29826e-16	2061.26
1.015	-4.60342e-16	2050.98
1.02	-3.83322e-16	2040.75
1.025	-2.86038e-16	2030.57
1.03	-1.61129e-16	2020.45
1.035	-6.31227e-18	2010.37
1.04	1.80654e-16	2000.34
1.045	4.01955e-16	1990.37
1.05	6.59709e-16	1980.44
1.055	9.55951e-16	1970.56
1.06	1.24529e-15	1960.73
1.065	1.52595e-15	1950.95
1.07	1.80678e-15	1941.22
1.075	2.07928e-15	1931.54
1.08	2.33358e-15	1921.91
1.085	2.55833e-15	1912.32
1.09	2.74065e-15	1902.79
1.095	2.86604e-15	1893.29
1.1	2.93394e-15	1883.85
1.105	2.93397e-15	1874.46
1.11	2.84081e-15	1865.11
1.115	2.6368e-15	1855.81
1.12	2.30282e-15	1846.55
1.125	1.81817e-15	1837.34
1.13	1.16056e-15	1828.18
1.135	3.06055e-16	1819.06
1.14	-6.97141e-16	1809.99
1.145	-1.7752e-15	1800.96
1.15	-2.98808e-15	1791.98
1.155	-4.32475e-15	1783.04
1.16	-5.76965e-15	1774.15
1.165	-7.30225e-15	1765.3
1.17	-8.89408e-15	1756.49
1.175	-1.03136e-14	1747.73
1.18	-1.15932e-14	1739.01
1.185	-1.26483e-14	1730.34
1.19	-1.33807e-14	1721.71
1.195	-1.36781e-14	1713.12
1.2	-1.34133e-14	1704.58
1.205	-1.16249e-14	1696.08
1.21	-5.68589e-15	1687.62
1.215	-2.51586e-15	1679.2
1.22	-1.11127e-15	1670.83
1.225	-4.9366e-16	1662.49
1.23	-2.16503e-16	1654.2
1.235	-9.49322e-17	1645.95
1.24	-4.08461e-17	1637.74
1.245	-1.65032e-17	1629.57
1.25	-5.50282e-18	1621.45
1.255	3.07854e-18	1613.36
1.26	1.29856e-17	1605.31
1.265	1.82096e-17	1597.31
1.27	7.11903e-18	1589.34
1.275	-3.96963e-17	1581.41
1.28	-1.51373e-16	1573.53
1.285	-1.98458e-16	1565.68
1.29	-4.2773e-17	1557.87
1.295	-5.05651e-17	1550.1
1.3	-1.90816e-17	1542.37
1.305	4.97641e-18	1534.68
1.31	-4.82298e-18	1527.02
1.315	1.04249e-18	1519.4
1.32	2.68481e-18	1511.83
1.325	2.55775e-18	1504.29
1.33	3.41763e-18	1496.78
1.335	3.52343e-18	1489.32
1.34	2.33556e-18	1481.89
1.345	3.67427e-19	1474.5
1.35	-4.88496e-19	1467.15
1.355	1.59207e-18	1459.83
1.36	8.84436e-18	1452.55
1.365	2.49898e-17	1445.3
1.37	5.27162e-17	1438.09
1.375	8.8188e-17	1430.92
1.38	1.29367e-16	1423.78
1.385	1.73476e-16	1416.68
1.39	2.11783e-16	1409.62
1.395	2.33221e-16	1402.59
1.4	2.25645e-16	1395.59
1.405	1.78472e-16	1388.63
1.41	1.03635e-16	1381.71
1.415	-6.88124e-18	1374.81
1.42	-1.37642e-16	1367.96
1.425	-1.23808e-16	1361.13
1.43	-4.76296e-17	1354.35
1.435	-2.24845e-17	1347.59
1.44	-2.15537e-17	1340.87
1.445	-1.21218e-17	1334.18
1.45	-2.66512e-18	1327.53
1.455	2.15524e-19	1320.91
1.46	1.41673e-18	1314.32
1.465	3.38212e-18	1307.76
1.47	6.84591e-18	1301.24
1.475	1.26807e-17	1294.75
1.48	2.11026e-17	1288.29
1.485	3.0356e-17	1281.87
1.49	3.77698e-17	1275.47
1.495	4.00031e-17	1269.11
1.5	3.46124e-17	1262.78
1.505	2.34553e-17	1256.49
1.51	6.52458e-18	1250.22
1.515	-1.59094e-17	1243.98
1.52	-3.94805e-17	1237.78
1.525	-5.82488e-17	1231.61
1.53	-6.59536e-17	1225.46
1.535	-5.795e-17	1219.35
1.54	-3.88097e-17	1213.27
1.545	-1.0258e-17	1207.22
1.55	2.52376e-17	1201.2
1.555	6.06587e-17	1195.21
1.56	8.60253e-17	1189.25
1.565	9.02076e-17	1183.31
1.57	6.90419e-17	1177.41
1.575	3.48121e-17	1171.54
1.58	-4.98505e-18	1165.7
1.585	-4.09469e-17	1159.88
1.59	-6.71609e-17	1154.1
1.595	-7.44365e-17	1148.34
1.6	-5.23083e-17	1142.61
1.605	-1.06038e-17	1136.92
1.61	3.50423e-17	1131.24
1.615	6.92846e-17	1125.6
1.62	8.39602e-17	1119.99
1.625	8.27898e-17	1114.4
1.63	6.26717e-17	1108.84
1.635	2.42987e-17	1103.31
1.64	-1.78699e-17	1097.81
1.645	-4.94591e-17	1092.34
1.65	-5.44253e-17	1086.89
1.655	-4.03352e-17	1081.47
1.66	-1.59856e-17	1076.07
1.665	1.12162e-17	1070.71
1.67	3.57119e-17	1065.37
1.675	5.33559e-17	1060.05
1.68	5.63936e-17	1054.77
1.685	4.11181e-17	1049.51
1.69	2.30176e-17	1044.27
1.695	1.75671e-17	1039.06
1.7	1.97429e-17	1033.88
1.705	2.25764e-17	1028.72
1.71	2.43001e-17	1023.59
1.715	2.37366e-17	1018.49
1.72	2.0727e-17	1013.41
1.725	1.81561e-17	1008.35
1.73	1.782e-17	1003.32
1.735	1.82245e-17	998.32
1.74	1.85884e-17	993.341
1.745	1.90025e-17	988.387
1.75	1.91667e-17	983.457
1.755	1.9011e-17	978.552
1.76	1.88937e-17	973.671
1.765	1.90863e-17	968.815
1.77	1.94802e-17	963.983
1.775	1.99569e-17	959.175
1.78	2.04549e-17	954.391
1.785	2.09924e-17	949.631
1.79	2.15466e-17	944.895
1.795	2.21342e-17	940.182
1.8	2.27716e-17	935.493
1.805	2.34595e-17	930.827
1.81	2.41225e-17	926.185
1.815	2.47529e-17	921.566
1.82	2.53578e-17	916.969
1.825	2.59581e-17	912.396
1.83	2.6593e-17	907.845
1.835	2.73238e-17	903.317
1.84	2.82381e-17	898.812
1.845	2.94545e-17	894.329
1.85	3.08983e-17	889.869
1.855	3.23716e-17	885.43
1.86	3.38785e-17	881.014
1.865	3.54319e-17	876.62
1.87	3.7055e-17	872.248
1.875	3.87832e-17	867.898
1.88	4.06653e-17	863.569
1.885	4.27652e-17	859.262
1.89	4.51583e-17	854.976
1.895	4.77822e-17	850.712
1.9	5.06086e-17	846.469
1.905	5.36663e-17	842.248
1.91	5.6989e-17	838.047
1.915	6.06157e-17	833.867
1.92	6.45914e-17	829.708
1.925	6.89672e-17	825.57
1.93	7.3801e-17	821.452
1.935	7.91558e-17	817.355
1.94	8.50898e-17	813.279
1.945	9.16745e-17	809.223
1.95	9.89899e-17	805.187
1.955	1.07124e-16	801.171
1.96	1.16171e-16	797.175
1.965	1.26236e-16	793.199
1.97	1.3743e-16	789.243
1.975	1.49873e-16	785.306
1.98	1.63772e-16	781.39
1.985	1.79502e-16	777.492
1.99	1.97341e-16	773.615
1.995	2.17594e-16	769.756
2	2.40598e-16	765.917
2.005	2.66723e-16	762.097
2.01	2.96377e-16	758.296
2.015	3.30006e-16	754.514
2.02	3.68552e-16	750.751
2.025	4.12062e-16	747.007
2.03	4.62866e-16	743.281
2.035	5.22132e-16	739.574
2.04	5.91192e-16	735.885
2.045	6.71545e-16	732.215
2.05	7.64859e-16	728.563
2.055	8.72982e-16	724.929
2.06	9.97942e-16	721.314
2.065	1.14248e-15	717.716
2.07	1.31851e-15	714.136
2.075	1.5353e-15	710.575
2.08	1.80024e-15	707.031
2.085	2.1216e-15	703.504
2.09	2.50857e-15	699.996
2.095	2.97132e-15	696.504
2.1	3.52111e-15	693.03
2.105	4.17028e-15	689.574
2.11	4.93239e-15	686.135
2.115	5.82224e-15	682.713
2.12	6.85599e-15	679.308
2.125	8.0512e-15	675.919
2.13	9.42691e-15	672.548
2.135	1.1016e-14	669.194
2.14	1.29412e-14	665.856
2.145	1.53682e-14	662.535
2.15	1.85322e-14	659.231
2.155	2.26337e-14	655.943
2.16	2.78424e-14	652.671
2.165	3.43624e-14	649.416
2.17	4.24342e-14	646.177
2.175	5.25103e-14	642.954
2.18	6.50912e-14	639.748
2.185	8.08045e-14	636.557
2.19	1.00569e-13	633.382
2.195	1.25605e-13	630.223
2.2	1.57462e-13	627.08
2.205	1.98163e-13	623.952
2.21	2.50349e-13	620.84
2.215	3.17317e-13	617.744
2.22	4.03226e-13	614.663
2.225	5.14066e-13	611.597
2.23	6.57448e-13	608.547
2.235	8.42897e-13	605.512
2.24	1.08328e-12	602.492
2.245	1.39752e-12	599.487
2.25	1.80873e-12	596.497
2.255	2.34759e-12	593.522
2.26	3.05589e-12	590.562
2.265	3.98981e-12	587.616
2.27	5.22457e-12	584.685
2.275	6.86147e-12	581.769
2.28	9.03731e-12	578.868
2.285	1.19377e-11	575.981
2.29	1.58144e-11	573.108
2.295	2.10103e-11	570.249
2.3	2.79931e-11	567.405
2.305	3.74016e-11	564.575
2.31	5.01142e-11	561.76
2.315	6.73367e-11	558.958
2.32	9.07305e-11	556.17
2.325	1.22592e-10	553.396
2.33	1.66102e-10	550.636
2.335	2.25675e-10	547.89
2.34	3.07454e-10	545.157
2.345	4.2001e-10	542.438
2.35	5.75332e-10	539.733
2.355	7.90219e-10	537.041
2.36	1.08829e-09	534.362
2.365	1.50279e-09	531.697
2.37	2.0807e-09	529.045
2.375	2.88848e-09	526.407
2.38	4.02043e-09	523.781
2.385	5.61063e-09	521.169
2.39	7.85024e-09	518.569
2.395	1.10124e-08	515.983
2.4	1.54881e-08	513.41
2.405	2.18389e-08	510.849
2.41	3.08726e-08	508.301
2.415	4.37541e-08	505.766
2.42	6.21674e-08	503.243
2.425	8.85522e-08	500.733
2.43	1.26451e-07	498.236
2.435	1.81021e-07	495.751
2.44	2.59784e-07	493.279
2.445	3.73737e-07	490.818
2.45	5.38996e-07	488.37
2.455	7.79229e-07	485.935
2.46	1.12928e-06	483.511
2.465	1.64053e-06	481.099
2.47	2.38899e-06	478.7
2.475	3.48726e-06	476.312
2.48	5.10256e-06	473.937
2.485	7.48377e-06	471.573
2.49	1.10021e-05	469.221
2.495	1.62126e-05	466.881
2.5	2.39465e-05	464.552
2.505	3.5452e-05	462.235
2.51	5.26069e-05	459.93
2.515	7.82426e-05	457.636
2.52	0.000116637	455.354
2.525	0.000174269	453.083
2.53	0.000260968	450.823
2.535	0.000391682	448.574
2.54	0.000589187	446.337
2.545	0.000888264	444.111
2.55	0.00134213	441.897
2.555	0.0020324	439.693
2.56	0.00308443	437.501
2.565	0.00469129	435.32
2.57	0.00715078	433.151
2.575	0.0109233	430.994
2.58	0.016722	428.848
2.585	0.0256539	426.716
2.59	0.0394403	424.598
2.595	0.0607637	422.496
2.6	0.0938116	420.413
2.605	0.145134	418.353
2.61	0.224993	416.323
2.615	0.349497	414.335
2.62	0.543962	412.404
2.625	0.848234	410.558
2.63	1.32507	408.838
2.635	2.07334	407.309
