Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0196271	0.15	3823.95
0.0196918	0.15	3823.77
0.0197567	0.15	3823.59
0.0198218	0.15	3823.42
0.0198871	0.15	3823.24
0.0199526	0.15	3823.06
0.0200184	0.15	3822.88
0.0200843	0.15	3822.7
0.0201505	0.15	3822.52
0.0202169	0.15	3822.34
0.0202835	0.15	3822.15
0.0203503	0.15	3821.97
0.0204174	0.15	3821.79
0.0204847	0.15	3821.6
0.0205521	0.15	3821.41
0.0206199	0.15	3821.23
0.0206878	0.15	3821.04
0.020756	0.15	3820.85
0.0208243	0.15	3820.66
0.020893	0.15	3820.47
0.0209618	0.15	3820.28
0.0210309	0.15	3820.09
0.0211002	0.15	3819.9
0.0211697	0.15	3819.71
0.0212394	0.15	3819.51
0.0213094	0.15	3819.32
0.0213796	0.15	3819.12
0.0214501	0.15	3818.93
0.0215207	0.15	3818.73
0.0215916	0.15	3818.53
0.0216628	0.15	3818.33
0.0217342	0.15	3818.13
0.0218058	0.15	3817.93
0.0218776	0.15	3817.73
0.0219497	0.15	3817.53
0.022022	0.15	3817.32
0.0220946	0.15	3817.12
0.0221674	0.15	3816.92
0.0222404	0.15	3816.71
0.0223137	0.15	3816.5
0.0223872	0.15	3816.29
0.022461	0.15	3816.09
0.022535	0.15	3815.88
0.0226092	0.15	3815.67
0.0226837	0.15	3815.46
0.0227585	0.15	3815.24
0.0228334	0.15	3815.03
0.0229087	0.15	3814.82
0.0229842	0.15	3814.6
0.0230599	0.15	3814.39
0.0231359	0.15	3814.17
0.0232121	0.15	3813.95
0.0232886	0.15	3813.73
0.0233653	0.15	3813.51
0.0234423	0.15	3813.29
0.0235195	0.15	3813.07
0.023597	0.15	3812.85
0.0236748	0.15	3812.62
0.0237528	0.15	3812.4
0.023831	0.15	3812.17
0.0239096	0.15	3811.95
0.0239883	0.15	3811.72
0.0240674	0.15	3811.49
0.0241467	0.15	3811.26
0.0242262	0.15	3811.03
0.024306	0.15	3810.8
0.0243861	0.15	3810.57
0.0244665	0.15	3810.33
0.0245471	0.15	3810.1
0.024628	0.15	3809.86
0.0247091	0.15	3809.63
0.0247905	0.15	3809.39
0.0248722	0.15	3809.15
0.0249542	0.15	3808.91
0.0250364	0.15	3808.67
0.0251189	0.15	3808.43
0.0252016	0.15	3808.18
0.0252847	0.15	3807.94
0.025368	0.15	3807.69
0.0254516	0.15	3807.45
0.0255354	0.15	3807.2
0.0256195	0.15	3806.95
0.025704	0.15	3806.7
0.0257886	0.15	3806.45
0.0258736	0.15	3806.2
0.0259589	0.15	3805.95
0.0260444	0.15	3805.69
0.0261302	0.15	3805.44
0.0262163	0.15	3805.18
0.0263027	0.15	3804.92
0.0263893	0.15	3804.66
0.0264763	0.15	3804.4
0.0265635	0.15	3804.14
0.026651	0.15	3803.88
0.0267389	0.15	3803.62
0.026827	0.15	3803.35
0.0269153	0.15	3803.09
0.027004	0.15	3802.82
0.027093	0.15	3802.55
0.0271823	0.15	3802.28
0.0272718	0.15	3802.01
0.0273617	0.15	3801.74
0.0274518	0.15	3801.47
0.0275423	0.15	3801.19
0.027633	0.15	3800.92
0.0277241	0.15	3800.64
0.0278154	0.15	3800.36
0.0279071	0.15	3800.08
0.027999	0.15	3799.8
0.0280913	0.15	3799.52
0.0281838	0.15	3799.23
0.0282767	0.15	3798.95
0.0283699	0.15	3798.66
0.0284633	0.15	3798.38
0.0285571	0.15	3798.09
0.0286512	0.15	3797.8
0.0287456	0.15	3797.51
0.0288403	0.15	3797.21
0.0289353	0.15	3796.92
0.0290307	0.15	3796.63
0.0291263	0.15	3796.33
0.0292223	0.15	3796.03
0.0293186	0.15	3795.73
0.0294152	0.15	3795.43
0.0295121	0.15	3795.13
0.0296093	0.15	3794.82
0.0297069	0.15	3794.52
0.0298048	0.15	3794.21
0.029903	0.15	3793.9
0.0300015	0.15	3793.6
0.0301003	0.15	3793.28
0.0301995	0.15	3792.97
0.030299	0.15	3792.66
0.0303988	0.15	3792.34
0.030499	0.15	3792.03
0.0305995	0.15	3791.71
0.0307003	0.15	3791.39
0.0308015	0.15	3791.07
0.030903	0.15	3790.75
0.0310048	0.15	3790.42
0.0311069	0.15	3790.1
0.0312094	0.15	3789.77
0.0313123	0.15	3789.44
0.0314154	0.15	3789.11
0.0315189	0.15	3788.78
0.0316228	0.15	3788.44
0.031727	0.15	3788.11
0.0318315	0.15	3787.77
0.0319364	0.15	3787.43
0.0320416	0.15	3787.09
0.0321472	0.15	3786.75
0.0322531	0.15	3786.41
0.0323594	0.15	3786.06
0.032466	0.15	3785.72
0.032573	0.15	3785.37
0.0326803	0.15	3785.02
0.032788	0.15	3784.67
0.032896	0.15	3784.32
0.0330044	0.15	3783.96
0.0331131	0.15	3783.6
0.0332222	0.15	3783.25
0.0333317	0.15	3782.89
0.0334415	0.15	3782.53
0.0335517	0.15	3782.16
0.0336622	0.15	3781.8
0.0337731	0.15	3781.43
0.0338844	0.15	3781.06
0.0339961	0.15	3780.69
0.0341081	0.15	3780.32
0.0342204	0.15	3779.94
0.0343332	0.15	3779.57
0.0344463	0.15	3779.19
0.0345598	0.15	3778.81
0.0346737	0.15	3778.43
0.0347879	0.15	3778.05
0.0349025	0.15	3777.66
0.0350175	0.15	3777.27
0.0351329	0.15	3776.89
0.0352487	0.15	3776.5
0.0353648	0.15	3776.1
0.0354813	0.15	3775.71
0.0355982	0.15	3775.31
0.0357155	0.15	3774.91
0.0358332	0.15	3774.51
0.0359513	0.15	3774.11
0.0360697	0.15	3773.71
0.0361886	0.15	3773.3
0.0363078	0.15	3772.89
0.0364274	0.15	3772.48
0.0365475	0.15	3772.07
0.0366679	0.15	3771.65
0.0367887	0.15	3771.24
0.0369099	0.15	3770.82
0.0370315	0.15	3770.4
0.0371535	0.15	3769.97
0.0372759	0.15	3769.55
0.0373988	0.15	3769.12
0.037522	0.15	3768.69
0.0376456	0.15	3768.26
0.0377696	0.15	3767.83
0.0378941	0.15	3767.39
0.0380189	0.15	3766.96
0.0381442	0.15	3766.52
0.0382699	0.15	3766.07
0.038396	0.15	3765.63
0.0385225	0.15	3765.18
0.0386494	0.15	3764.73
0.0387768	0.15	3764.28
0.0389045	0.15	3763.83
0.0390327	0.15	3763.37
0.0391613	0.15	3762.91
0.0392903	0.15	3762.45
0.0394198	0.15	3761.99
0.0395497	0.15	3761.53
0.03968	0.15	3761.06
0.0398107	0.15	3760.59
0.0399419	0.15	3760.12
0.0400735	0.15	3759.64
0.0402055	0.15	3759.16
0.040338	0.15	3758.69
0.0404709	0.15	3758.2
0.0406042	0.15	3757.72
0.040738	0.15	3757.23
0.0408723	0.15	3756.74
0.0410069	0.15	3756.25
0.041142	0.15	3755.76
0.0412776	0.15	3755.26
0.0414136	0.15	3754.76
0.04155	0.15	3754.26
0.0416869	0.15	3753.75
0.0418243	0.15	3753.25
0.0419621	0.15	3752.74
0.0421004	0.15	3752.22
0.0422391	0.15	3751.71
0.0423782	0.15	3751.19
0.0425179	0.15	3750.67
0.042658	0.15	3750.15
0.0427985	0.15	3749.62
0.0429395	0.15	3749.09
0.043081	0.15	3748.56
0.0432229	0.15	3748.03
0.0433654	0.15	3747.49
0.0435082	0.15	3746.95
0.0436516	0.15	3746.41
0.0437954	0.15	3745.86
0.0439397	0.15	3745.31
0.0440845	0.15	3744.76
0.0442297	0.15	3744.21
0.0443755	0.15	3743.65
0.0445217	0.15	3743.09
0.0446684	0.15	3742.53
0.0448155	0.15	3741.96
0.0449632	0.15	3741.39
0.0451113	0.15	3740.82
0.04526	0.15	3740.24
0.0454091	0.15	3739.66
0.0455587	0.15	3739.08
0.0457088	0.15	3738.5
0.0458594	0.15	3737.91
0.0460105	0.15	3737.32
0.0461621	0.15	3736.73
0.0463142	0.15	3736.13
0.0464668	0.15	3735.53
0.0466199	0.15	3734.93
0.0467735	0.15	3734.32
0.0469276	0.15	3733.71
0.0470822	0.15	3733.1
0.0472374	0.15	3732.48
0.047393	0.15	3731.86
0.0475492	0.15	3731.24
0.0477058	0.15	3730.61
0.047863	0.15	3729.98
0.0480207	0.15	3729.35
0.0481789	0.15	3728.71
0.0483377	0.15	3728.07
0.0484969	0.15	3727.43
0.0486567	0.15	3726.78
0.048817	0.15	3726.13
0.0489779	0.15	3725.48
0.0491393	0.15	3724.82
0.0493012	0.15	3724.16
0.0494636	0.15	3723.49
0.0496266	0.15	3722.83
0.0497901	0.15	3722.15
0.0499541	0.15	3721.48
0.0501187	0.15	3720.8
0.0502839	0.15	3720.11
0.0504495	0.15	3719.43
0.0506158	0.15	3718.74
0.0507825	0.15	3718.04
0.0509498	0.15	3717.34
0.0511177	0.15	3716.64
0.0512861	0.15	3715.93
0.0514551	0.15	3715.22
0.0516247	0.15	3714.51
0.0517947	0.15	3713.79
0.0519654	0.15	3713.07
0.0521366	0.15	3712.34
0.0523084	0.15	3711.61
0.0524807	0.15	3710.88
0.0526537	0.15	3710.14
0.0528271	0.15	3709.4
0.0530012	0.15	3708.65
0.0531758	0.15	3707.9
0.053351	0.15	3707.15
0.0535268	0.15	3706.39
0.0537032	0.15	3705.63
0.0538801	0.15	3704.86
0.0540576	0.15	3704.09
0.0542358	0.15	3703.31
0.0544145	0.15	3702.53
0.0545937	0.15	3701.74
0.0547736	0.15	3700.96
0.0549541	0.15	3700.16
0.0551352	0.15	3699.36
0.0553168	0.15	3698.56
0.0554991	0.15	3697.75
0.0556819	0.15	3696.94
0.0558654	0.15	3696.12
0.0560495	0.15	3695.3
0.0562341	0.15	3694.48
0.0564194	0.15	3693.65
0.0566053	0.15	3692.81
0.0567918	0.15	3691.97
0.0569789	0.15	3691.13
0.0571667	0.15	3690.28
0.057355	0.15	3689.42
0.057544	0.15	3688.56
0.0577336	0.15	3687.7
0.0579238	0.15	3686.83
0.0581147	0.15	3685.95
0.0583061	0.15	3685.07
0.0584982	0.15	3684.19
0.058691	0.15	3683.3
0.0588844	0.15	3682.4
0.0590784	0.15	3681.5
0.059273	0.15	3680.6
0.0594683	0.15	3679.69
0.0596643	0.15	3678.77
0.0598608	0.15	3677.85
0.0600581	0.15	3676.93
0.060256	0.15	3675.99
0.0604545	0.15	3675.06
0.0606537	0.15	3674.12
0.0608535	0.15	3673.17
0.061054	0.15	3672.21
0.0612552	0.15	3671.25
0.061457	0.15	3670.29
0.0616595	0.15	3669.32
0.0618627	0.15	3668.34
0.0620665	0.15	3667.36
0.062271	0.15	3666.37
0.0624762	0.15	3665.38
0.062682	0.15	3664.38
0.0628885	0.15	3663.38
0.0630957	0.15	3662.37
0.0633036	0.15	3661.35
0.0635122	0.15	3660.33
0.0637215	0.15	3659.3
0.0639314	0.15	3658.26
0.0641421	0.15	3657.22
0.0643534	0.15	3656.18
0.0645654	0.15	3655.12
0.0647782	0.15	3654.06
0.0649916	0.15	3653
0.0652057	0.15	3651.93
0.0654206	0.15	3650.85
0.0656361	0.15	3649.76
0.0658524	0.15	3648.67
0.0660693	0.15	3647.57
0.066287	0.15	3646.47
0.0665054	0.15	3645.36
0.0667246	0.15	3644.24
0.0669444	0.15	3643.12
0.067165	0.15	3641.99
0.0673863	0.15	3640.85
0.0676083	0.15	3639.7
0.0678311	0.15	3638.55
0.0680545	0.15	3637.4
0.0682788	0.15	3636.23
0.0685037	0.15	3635.06
0.0687294	0.15	3633.88
0.0689559	0.15	3632.69
0.0691831	0.15	3631.5
0.069411	0.15	3630.3
0.0696397	0.15	3629.09
0.0698692	0.15	3627.88
0.0700994	0.15	3626.66
0.0703304	0.15	3625.43
0.0705621	0.15	3624.19
0.0707946	0.15	3622.95
0.0710278	0.15	3621.7
0.0712619	0.15	3620.44
0.0714967	0.15	3619.17
0.0717322	0.15	3617.9
0.0719686	0.15	3616.62
0.0722057	0.15	3615.33
0.0724436	0.15	3614.03
0.0726823	0.15	3612.72
0.0729218	0.15	3611.41
0.073162	0.15	3610.09
0.0734031	0.15	3608.76
0.0736449	0.15	3607.42
0.0738876	0.15	3606.08
0.074131	0.15	3604.73
0.0743753	0.15	3603.37
0.0746203	0.15	3602
0.0748662	0.15	3600.62
0.0751129	0.15	3599.23
0.0753603	0.15	3597.84
0.0756086	0.15	3596.44
0.0758578	0.15	3595.02
0.0761077	0.15	3593.61
0.0763585	0.15	3592.18
0.07661	0.15	3590.74
0.0768625	0.15	3589.29
0.0771157	0.15	3587.84
0.0773698	0.15	3586.38
0.0776247	0.15	3584.91
0.0778805	0.15	3583.43
0.0781371	0.15	3581.94
0.0783945	0.15	3580.44
0.0786528	0.15	3578.93
0.078912	0.15	3577.41
0.079172	0.15	3575.89
0.0794328	0.15	3574.35
0.0796945	0.15	3572.81
0.0799571	0.15	3571.25
0.0802206	0.15	3569.69
0.0804849	0.15	3568.12
0.0807501	0.15	3566.54
0.0810161	0.15	3564.95
0.0812831	0.15	3563.35
0.0815509	0.15	3561.74
0.0818196	0.15	3560.12
0.0820891	0.15	3558.49
0.0823596	0.15	3556.85
0.082631	0.15	3555.2
0.0829032	0.15	3553.54
0.0831764	0.15	3551.87
0.0834504	0.15	3550.19
0.0837254	0.15	3548.5
0.0840012	0.15	3546.81
0.084278	0.15	3545.1
0.0845557	0.15	3543.38
0.0848343	0.15	3541.65
0.0851138	0.15	3539.91
0.0853942	0.15	3538.16
0.0856756	0.15	3536.4
0.0859579	0.15	3534.63
0.0862411	0.15	3532.85
0.0865252	0.15	3531.06
0.0868103	0.15	3529.26
0.0870964	0.15	3527.45
0.0873833	0.15	3525.62
0.0876712	0.15	3523.79
0.0879601	0.15	3521.95
0.0882499	0.15	3520.09
0.0885407	0.15	3518.23
0.0888324	0.15	3516.35
0.0891251	0.15	3514.47
0.0894187	0.15	3512.57
0.0897134	0.15	3510.66
0.090009	0.15	3508.74
0.0903055	0.15	3506.81
0.0906031	0.15	3504.87
0.0909016	0.15	3502.92
0.0912011	0.15	3500.95
0.0915016	0.15	3498.98
0.0918031	0.15	3497
0.0921055	0.15	3495
0.092409	0.15	3492.99
0.0927135	0.15	3490.97
0.0930189	0.15	3488.94
0.0933254	0.15	3486.9
0.0936329	0.15	3484.85
0.0939414	0.15	3482.79
0.0942509	0.15	3480.71
0.0945615	0.15	3478.63
0.094873	0.15	3476.53
0.0951856	0.15	3474.42
0.0954993	0.15	3472.3
0.0958139	0.15	3470.17
0.0961296	0.15	3468.03
0.0964463	0.15	3465.88
0.0967641	0.15	3463.71
0.0970829	0.15	3461.54
0.0974028	0.15	3459.35
0.0977237	0.15	3457.16
0.0980457	0.15	3454.95
0.0983687	0.15	3452.73
0.0986929	0.15	3450.49
0.099018	0.15	3448.25
0.0993443	0.15	3446
0.0996716	0.15	3443.73
0.1	0.15	3441.46
0.100329	0.15	3439.17
0.10066	0.15	3436.88
0.100992	0.15	3434.57
0.101324	0.15	3432.25
0.101658	0.15	3429.92
0.101993	0.15	3427.58
0.102329	0.15	3425.23
0.102666	0.15	3422.86
0.103005	0.15	3420.49
0.103344	0.15	3418.11
0.103685	0.15	3415.72
0.104026	0.15	3413.31
0.104369	0.15	3410.9
0.104713	0.15	3408.48
0.105058	0.15	3406.04
0.105404	0.15	3403.6
0.105751	0.15	3401.15
0.1061	0.15	3398.69
0.106449	0.15	3396.22
0.1068	0.15	3393.74
0.107152	0.15	3391.25
0.107505	0.15	3388.75
0.107859	0.15	3386.24
0.108215	0.15	3383.72
0.108571	0.15	3381.2
0.108929	0.15	3378.67
0.109288	0.15	3376.13
0.109648	0.15	3373.58
0.110009	0.15	3371.02
0.110372	0.15	3368.46
0.110735	0.15	3365.89
0.1111	0.15	3363.31
0.111466	0.15	3360.73
0.111833	0.15	3358.14
0.112202	0.15	3355.54
0.112572	0.15	3352.94
0.112942	0.15	3350.33
0.113315	0.15	3347.72
0.113688	0.15	3345.1
0.114062	0.15	3342.48
0.114438	0.15	3339.86
0.114815	0.15	3337.23
0.115194	0.15	3334.6
0.115573	0.15	3331.96
0.115954	0.15	3329.33
0.116336	0.15	3326.69
0.116719	0.15	3324.05
0.117104	0.15	3321.41
0.11749	0.15	3318.76
0.117877	0.15	3316.12
0.118265	0.15	3313.48
0.118655	0.15	3310.84
0.119046	0.15	3308.2
0.119438	0.15	3305.57
0.119832	0.15	3302.94
0.120226	0.15	3300.31
0.120623	0.15	3297.68
0.12102	0.15	3295.06
0.121419	0.15	3292.45
0.121819	0.15	3289.84
0.12222	0.15	3287.24
0.122623	0.15	3284.65
0.123027	0.15	3282.07
0.123432	0.15	3279.5
0.123839	0.15	3276.93
0.124247	0.15	3274.38
0.124656	0.15	3271.85
0.125067	0.15	3269.32
0.125479	0.15	3266.81
0.125893	0.15	3264.32
0.126307	0.15	3261.84
0.126723	0.15	3259.38
0.127141	0.15	3256.94
0.12756	0.15	3254.53
0.12798	0.15	3252.13
0.128402	0.15	3249.75
0.128825	0.15	3247.4
0.129249	0.15	3245.08
0.129675	0.15	3242.78
0.130103	0.15	3240.52
0.130531	0.15	3238.28
0.130961	0.15	3236.07
0.131393	0.15	3233.9
0.131826	0.15	3231.77
0.13226	0.15	3229.67
0.132696	0.15	3227.61
0.133133	0.15	3225.59
0.133572	0.15	3223.62
0.134012	0.15	3221.69
0.134453	0.15	3219.8
0.134896	0.15	3217.97
0.135341	0.15	3216.19
0.135787	0.15	3214.46
0.136234	0.15	3212.79
0.136683	0.15	3211.18
0.137133	0.15	3209.63
0.137585	0.15	3208.14
0.138038	0.15	3206.72
0.138493	0.15	3205.37
0.13895	0.15	3204.1
0.139407	0.15	3202.9
0.139867	0.15	3201.78
0.140328	0.15	3200.74
0.14079	0.15	3199.79
0.141254	0.15	3198.93
0.141719	0.15	3198.16
0.142186	0.15	3197.49
0.142655	0.15	3196.92
0.143125	0.15	3196.45
0.143596	0.15	3196.09
0.144069	0.15	3195.85
0.144544	0.15	3195.72
0.14502	0.15	3195.72
0.145498	0.15	3195.85
0.145977	0.15	3196.1
0.146458	0.15	3196.49
0.146941	0.15	3197.03
0.147425	0.15	3197.71
0.147911	0.15	3198.55
0.148398	0.15	3199.55
0.148887	0.15	3200.71
0.149378	0.15	3202.04
0.14987	0.15	3203.56
0.150364	0.15	3205.25
0.150859	0.15	3207.14
0.151356	0.15	3209.23
0.151855	0.15	3211.52
0.152355	0.15	3214.03
0.152857	0.15	3216.76
0.153361	0.15	3219.71
0.153866	0.15	3222.91
0.154373	0.15	3226.35
0.154882	0.15	3230.05
0.155392	0.15	3234.02
0.155904	0.15	3238.26
0.156418	0.15	3242.78
0.156933	0.15	3247.6
0.15745	0.15	3252.72
0.157969	0.15	3258.16
0.158489	0.15	3263.93
0.159012	0.15	3270.04
0.159535	0.15	3276.51
0.160061	0.15	3283.33
0.160588	0.15	3290.54
0.161118	0.15	3298.13
0.161648	0.15	3306.13
0.162181	0.15	3314.56
0.162715	0.15	3323.41
0.163251	0.15	3332.72
0.163789	0.15	3342.49
0.164329	0.15	3352.75
0.16487	0.15	3363.5
0.165414	0.15	3374.78
0.165959	0.15	3386.59
0.166505	0.15	3398.95
0.167054	0.15	3411.89
0.167605	0.15	3425.43
0.168157	0.15	3439.58
0.168711	0.15	3454.37
0.169267	0.15	3469.82
0.169824	0.15	3485.95
0.170384	0.15	3502.79
0.170945	0.15	3520.36
0.171509	0.15	3538.68
0.172074	0.15	3557.8
0.172641	0.15	3577.72
0.173209	0.15	3598.48
0.17378	0.15	3620.11
0.174353	0.15	3642.63
0.174927	0.15	3666.09
0.175503	0.15	3690.5
0.176082	0.15	3715.9
0.176662	0.15	3742.33
0.177244	0.15	3769.81
0.177828	0.15	3798.39
0.178414	0.15	3828.09
0.179002	0.15	3858.94
0.179591	0.15	3891
0.180183	0.15	3924.27
0.180777	0.15	3958.81
0.181372	0.15	3994.64
0.18197	0.15	4031.79
0.18257	0.15	4070.28
0.183171	0.15	4110.14
0.183775	0.15	4151.38
0.18438	0.15	4194.02
0.184988	0.15	4238.04
0.185597	0.15	4283.43
0.186209	0.15	4330.16
0.186822	0.15	4378.16
0.187438	0.15	4427.36
0.188055	0.15	4477.63
0.188675	0.15	4528.8
0.189297	0.15	4580.64
0.18992	0.15	4632.85
0.190546	0.15	4685.05
0.191174	0.15	4736.76
0.191804	0.15	4787.37
0.192436	0.15	4836.19
0.19307	0.15	4882.38
0.193706	0.15	4925.02
0.194344	0.15	4963.17
0.194984	0.15	4995.91
0.195627	0.15	5022.48
0.196271	0.15	5042.41
0.196918	0.15	5055.66
0.197567	0.15	5062.67
0.198218	0.15	5064.36
0.198871	0.15	5061.92
0.199526	0.15	5056.56
0.200184	0.15	5049.25
0.200843	0.15	5040.52
0.201505	0.15	5030.52
0.202169	0.15	5019.11
0.202835	0.15	5006.15
0.203503	0.15	4991.51
0.204174	0.15	4975.14
0.204847	0.15	4956.92
0.205521	0.15	4936.63
0.206199	0.15	4913.98
0.206878	0.15	4888.71
0.20756	0.15	4860.72
0.208243	0.15	4830.12
0.20893	0.15	4797.16
0.209618	0.15	4762.08
0.210309	0.15	4725.05
0.211002	0.15	4686.15
0.211697	0.15	4645.42
0.212394	0.15	4603.03
0.213094	0.15	4559.23
0.213796	0.15	4514.37
0.214501	0.15	4468.76
0.215207	0.15	4422.59
0.215916	0.15	4375.96
0.216628	0.15	4328.92
0.217342	0.15	4281.57
0.218058	0.15	4234.11
0.218776	0.15	4186.79
0.219497	0.15	4139.85
0.22022	0.15	4093.41
0.220946	0.15	4047.47
0.221674	0.15	4001.94
0.222404	0.15	3956.69
0.223137	0.15	3911.68
0.223872	0.15	3866.88
0.22461	0.15	3822.32
0.22535	0.15	3777.95
0.226092	0.15	3733.67
0.226837	0.15	3689.32
0.227585	0.15	3644.8
0.228334	0.15	3600.14
0.229087	0.15	3555.53
0.229842	0.15	3511.27
0.230599	0.15	3467.77
0.231359	0.15	3425.39
0.232121	0.15	3384.46
0.232886	0.15	3345.26
0.233653	0.15	3308.08
0.234423	0.15	3273.25
0.235195	0.15	3241.16
0.23597	0.15	3212.27
0.236748	0.15	3186.98
0.237528	0.15	3165.63
0.23831	0.15	3148.45
0.239096	0.15	3135.6
0.239883	0.15	3127.19
0.240674	0.15	3123.35
0.241467	0.15	3124.21
0.242262	0.15	3129.89
0.24306	0.15	3140.47
0.243861	0.15	3155.92
0.244665	0.15	3176.12
0.245471	0.15	3200.87
0.24628	0.15	3229.88
0.247091	0.15	3262.88
0.247905	0.15	3299.58
0.248722	0.15	3339.69
0.249542	0.15	3382.88
0.250364	0.15	3428.78
0.251189	0.15	3476.93
0.252016	0.15	3526.88
0.252847	0.15	3578.18
0.25368	0.15	3630.42
0.254516	0.15	3683.28
0.255354	0.15	3736.54
0.256195	0.15	3790
0.25704	0.15	3843.46
0.257886	0.15	3896.73
0.258736	0.15	3949.57
0.259589	0.15	4001.73
0.260444	0.15	4052.98
0.261302	0.15	4103.12
0.262163	0.15	4152.03
0.263027	0.15	4199.58
0.263893	0.15	4245.72
0.264763	0.15	4290.34
0.265635	0.15	4333.32
0.26651	0.15	4374.51
0.267389	0.15	4413.75
0.26827	0.15	4450.9
0.269153	0.15	4485.89
0.27004	0.15	4518.69
0.27093	0.15	4549.32
0.271823	0.15	4577.85
0.272718	0.15	4604.32
0.273617	0.15	4628.79
0.274518	0.15	4651.25
0.275423	0.15	4671.72
0.27633	0.15	4690.2
0.277241	0.15	4706.74
0.278154	0.15	4721.41
0.279071	0.15	4734.33
0.27999	0.15	4745.66
0.280913	0.15	4755.53
0.281838	0.15	4764.06
0.282767	0.15	4771.33
0.283699	0.15	4777.41
0.284633	0.15	4782.3
0.285571	0.15	4786.02
0.286512	0.15	4788.61
0.287456	0.15	4790.1
0.288403	0.15	4790.54
0.289353	0.15	4789.99
0.290307	0.15	4788.46
0.291263	0.15	4785.96
0.292223	0.15	4782.47
0.293186	0.15	4777.93
0.294152	0.15	4772.3
0.295121	0.15	4765.52
0.296093	0.15	4757.58
0.297069	0.15	4748.49
0.298048	0.15	4738.3
0.29903	0.15	4727.07
0.300015	0.15	4714.85
0.301003	0.15	4701.69
0.301995	0.15	4687.6
0.30299	0.15	4672.6
0.303988	0.15	4656.68
0.30499	0.15	4639.82
0.305995	0.15	4622.04
0.307003	0.15	4603.35
0.308015	0.15	4583.8
0.30903	0.15	4563.43
0.310048	0.15	4542.29
0.311069	0.15	4520.41
0.312094	0.15	4497.81
0.313123	0.15	4474.48
0.314154	0.15	4450.41
0.315189	0.15	4425.56
0.316228	0.15	4399.93
0.31727	0.15	4373.52
0.318315	0.15	4346.33
0.319364	0.15	4318.4
0.320416	0.15	4289.77
0.321472	0.15	4260.47
0.322531	0.15	4230.53
0.323594	0.15	4199.97
0.32466	0.15	4168.78
0.32573	0.15	4136.97
0.326803	0.15	4104.52
0.32788	0.15	4071.42
0.32896	0.15	4037.71
0.330044	0.15	4003.4
0.331131	0.15	3968.55
0.332222	0.15	3933.21
0.333317	0.15	3897.44
0.334415	0.15	3861.32
0.335517	0.15	3824.88
0.336622	0.15	3788.16
0.337731	0.15	3751.21
0.338844	0.15	3714.04
0.339961	0.15	3676.69
0.341081	0.15	3639.21
0.342204	0.15	3601.64
0.343332	0.15	3564.06
0.344463	0.15	3526.54
0.345598	0.15	3489.18
0.346737	0.15	3452.07
0.347879	0.15	3415.28
0.349025	0.15	3378.91
0.350175	0.15	3343.02
0.351329	0.15	3307.67
0.352487	0.15	3272.93
0.353648	0.15	3238.85
0.354813	0.15	3205.51
0.355982	0.15	3172.99
0.357155	0.15	3141.37
0.358332	0.15	3110.74
0.359513	0.15	3081.22
0.360697	0.15	3052.9
0.361886	0.15	3025.88
0.363078	0.15	3000.24
0.364274	0.15	2976.06
0.365475	0.15	2953.42
0.366679	0.15	2932.36
0.367887	0.15	2912.95
0.369099	0.15	2895.23
0.370315	0.15	2879.26
0.371535	0.15	2865.11
0.372759	0.15	2852.81
0.373988	0.15	2842.45
0.37522	0.15	2834.06
0.376456	0.15	2827.71
0.377696	0.15	2823.44
0.378941	0.15	2821.29
0.380189	0.15	2821.28
0.381442	0.15	2823.43
0.382699	0.15	2827.76
0.38396	0.15	2834.28
0.385225	0.15	2842.99
0.386494	0.15	2853.9
0.387768	0.15	2867.04
0.389045	0.15	2882.4
0.390327	0.15	2900.02
0.391613	0.15	2919.91
0.392903	0.15	2942.09
0.394198	0.15	2966.56
0.395497	0.15	2993.33
0.3968	0.15	3022.4
0.398107	0.15	3053.75
0.399419	0.15	3087.37
0.400735	0.15	3123.22
0.402055	0.15	3161.29
0.40338	0.15	3201.53
0.404709	0.15	3243.91
0.406042	0.15	3288.37
0.40738	0.15	3334.86
0.408723	0.15	3383.31
0.410069	0.15	3433.62
0.41142	0.15	3485.68
0.412776	0.15	3539.35
0.414136	0.15	3594.44
0.4155	0.15	3650.74
0.416869	0.15	3707.97
0.418243	0.15	3765.82
0.419621	0.15	3823.91
0.421004	0.15	3881.83
0.422391	0.15	3939.11
0.423782	0.15	3995.23
0.425179	0.15	4049.68
0.42658	0.15	4101.93
0.427985	0.15	4151.5
0.429395	0.15	4197.98
0.43081	0.15	4241.09
0.432229	0.15	4280.71
0.433654	0.15	4316.89
0.435082	0.15	4349.86
0.436516	0.15	4379.98
0.437954	0.15	4407.69
0.439397	0.15	4433.4
0.440845	0.15	4457.43
0.442297	0.15	4479.98
0.443755	0.15	4501.12
0.445217	0.15	4520.79
0.446684	0.15	4538.9
0.448155	0.15	4555.31
0.449632	0.15	4569.94
0.451113	0.15	4582.67
0.4526	0.15	4593.42
0.454091	0.15	4602.04
0.455587	0.15	4608.39
0.457088	0.15	4612.35
0.458594	0.15	4613.8
0.460105	0.15	4612.71
0.461621	0.15	4609.09
0.463142	0.15	4603
0.464668	0.15	4594.53
0.466199	0.15	4583.76
0.467735	0.15	4570.74
0.469276	0.15	4555.53
