Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00199526	0.15	3866.44
0.00200184	0.15	3866.42
0.00200843	0.15	3866.41
0.00201505	0.15	3866.4
0.00202169	0.15	3866.38
0.00202835	0.15	3866.37
0.00203503	0.15	3866.35
0.00204174	0.15	3866.34
0.00204847	0.15	3866.32
0.00205521	0.15	3866.31
0.00206199	0.15	3866.3
0.00206878	0.15	3866.28
0.0020756	0.15	3866.27
0.00208243	0.15	3866.25
0.0020893	0.15	3866.24
0.00209618	0.15	3866.22
0.00210309	0.15	3866.21
0.00211002	0.15	3866.19
0.00211697	0.15	3866.18
0.00212394	0.15	3866.16
0.00213094	0.15	3866.15
0.00213796	0.15	3866.13
0.00214501	0.15	3866.12
0.00215207	0.15	3866.1
0.00215916	0.15	3866.09
0.00216628	0.15	3866.07
0.00217342	0.15	3866.06
0.00218058	0.15	3866.04
0.00218776	0.15	3866.03
0.00219497	0.15	3866.01
0.0022022	0.15	3866
0.00220946	0.15	3865.98
0.00221674	0.15	3865.97
0.00222404	0.15	3865.95
0.00223137	0.15	3865.93
0.00223872	0.15	3865.92
0.0022461	0.15	3865.9
0.0022535	0.15	3865.89
0.00226092	0.15	3865.87
0.00226837	0.15	3865.86
0.00227585	0.15	3865.84
0.00228334	0.15	3865.82
0.00229087	0.15	3865.81
0.00229842	0.15	3865.79
0.00230599	0.15	3865.78
0.00231359	0.15	3865.76
0.00232121	0.15	3865.74
0.00232886	0.15	3865.73
0.00233653	0.15	3865.71
0.00234423	0.15	3865.69
0.00235195	0.15	3865.68
0.0023597	0.15	3865.66
0.00236748	0.15	3865.64
0.00237528	0.15	3865.63
0.0023831	0.15	3865.61
0.00239096	0.15	3865.59
0.00239883	0.15	3865.58
0.00240674	0.15	3865.56
0.00241467	0.15	3865.54
0.00242262	0.15	3865.53
0.0024306	0.15	3865.51
0.00243861	0.15	3865.49
0.00244665	0.15	3865.47
0.00245471	0.15	3865.46
0.0024628	0.15	3865.44
0.00247091	0.15	3865.42
0.00247905	0.15	3865.41
0.00248722	0.15	3865.39
0.00249542	0.15	3865.37
